,Requested_artist,Suggested_artist,Match_strength
9401,1.0,5078.0,1.0
7363,1.0,5077.0,1.0
2877,1.0,5076.0,0.3333333333333333
1221,1.0,390.0,0.2
983,1.0,1910.0,0.125
662,2.0,1303.0,0.2857142857142857
3462,2.0,4318.0,0.2222222222222222
394,2.0,1300.0,0.2222222222222222
1630,2.0,9.0,0.21052631578947367
1508,2.0,1293.0,0.2
3840,3.0,13673.0,0.5
7261,3.0,2774.0,0.5
4958,3.0,8327.0,0.5
4034,3.0,8533.0,0.5
5004,3.0,8531.0,0.5
7890,4.0,9244.0,1.0
5728,4.0,9241.0,1.0
7785,4.0,9243.0,1.0
8259,4.0,9245.0,1.0
1193,4.0,9238.0,1.0
8318,5.0,15290.0,0.5
7251,5.0,3556.0,0.5
2648,5.0,8044.0,0.5
4813,5.0,8046.0,0.5
3802,5.0,8045.0,0.5
1996,6.0,3.0,0.25
4209,6.0,3806.0,0.2
2148,6.0,1276.0,0.2
4998,6.0,2765.0,0.16666666666666666
2075,6.0,25.0,0.14285714285714285
217,7.0,517.0,0.12121212121212122
235,7.0,233.0,0.11510791366906475
281,7.0,1104.0,0.11206896551724138
111,7.0,486.0,0.08974358974358974
108,7.0,234.0,0.08695652173913043
6280,8.0,5082.0,0.2857142857142857
449,8.0,1933.0,0.25
983,8.0,1910.0,0.25
630,8.0,2100.0,0.2
3441,8.0,1919.0,0.18181818181818182
4399,9.0,36.0,0.2222222222222222
378,9.0,1332.0,0.21428571428571427
1550,9.0,49.0,0.21428571428571427
6494,9.0,6878.0,0.21428571428571427
664,9.0,2.0,0.21052631578947367
3834,10.0,4876.0,0.5
4183,10.0,1277.0,0.42857142857142855
3166,10.0,1315.0,0.42857142857142855
1546,10.0,6870.0,0.4
6495,10.0,43.0,0.4
7636,11.0,16909.0,0.5
7735,11.0,16910.0,0.5
7596,11.0,16907.0,0.5
8660,11.0,16911.0,0.5
8454,11.0,8348.0,0.5
2349,12.0,8324.0,0.3333333333333333
2779,12.0,8323.0,0.3333333333333333
4618,12.0,8322.0,0.3333333333333333
161,12.0,2749.0,0.2727272727272727
4998,12.0,2765.0,0.25
3835,13.0,4876.0,0.5
4184,13.0,1277.0,0.42857142857142855
5979,13.0,1256.0,0.4
709,13.0,6875.0,0.4
1834,13.0,24.0,0.3333333333333333
2705,15.0,6289.0,0.375
2075,15.0,25.0,0.25
2675,15.0,4273.0,0.25
1207,15.0,1281.0,0.23076923076923078
3154,15.0,4265.0,0.2222222222222222
1395,16.0,3432.0,0.4
9233,16.0,5586.0,0.3333333333333333
3830,16.0,16961.0,0.3333333333333333
7746,16.0,16964.0,0.3333333333333333
6835,16.0,9496.0,0.3333333333333333
6489,17.0,6879.0,0.5
4778,17.0,9968.0,0.5
4956,17.0,6877.0,0.5
3917,17.0,4873.0,0.5
9192,17.0,9969.0,0.5
8247,18.0,5.0,0.4
662,18.0,1303.0,0.4
1290,18.0,1298.0,0.3
1066,18.0,7078.0,0.2857142857142857
4357,18.0,32.0,0.2222222222222222
1033,19.0,41.0,0.4
1761,19.0,1299.0,0.36363636363636365
2607,19.0,6873.0,0.3333333333333333
5444,19.0,37.0,0.3333333333333333
3843,19.0,4871.0,0.3
6510,23.0,6490.0,1.0
1504,23.0,11837.0,1.0
4946,23.0,11839.0,1.0
3543,23.0,10771.0,0.5
3200,23.0,3195.0,0.5
709,24.0,6875.0,0.6666666666666666
5444,24.0,37.0,0.5
3843,24.0,4871.0,0.4
772,24.0,34.0,0.4
1203,24.0,16960.0,0.3333333333333333
2704,25.0,6289.0,0.3333333333333333
3764,25.0,15.0,0.25
3676,25.0,6.0,0.14285714285714285
1105,25.0,3244.0,0.14285714285714285
1207,25.0,1281.0,0.13333333333333333
3168,26.0,6874.0,1.0
2168,26.0,6871.0,1.0
6489,26.0,6879.0,1.0
3917,26.0,4873.0,1.0
9077,26.0,6237.0,1.0
7377,27.0,14691.0,0.5
859,27.0,14686.0,0.5
5713,27.0,10163.0,0.5
6128,27.0,14690.0,0.5
5709,27.0,2042.0,0.5
1423,28.0,1260.0,0.5
6464,28.0,2772.0,0.4
3153,28.0,4265.0,0.3333333333333333
2320,28.0,4272.0,0.3333333333333333
756,28.0,1521.0,0.3
1630,30.0,9.0,0.1724137931034483
658,30.0,153.0,0.16129032258064516
801,30.0,1067.0,0.15
1637,30.0,1294.0,0.14285714285714285
3843,30.0,4871.0,0.14285714285714285
8454,31.0,8348.0,1.0
1547,31.0,6870.0,0.5
98,31.0,10993.0,0.5
6723,31.0,11.0,0.5
302,31.0,1270.0,0.3333333333333333
1638,32.0,1294.0,0.42857142857142855
662,32.0,1303.0,0.36363636363636365
5861,32.0,38.0,0.3333333333333333
1762,32.0,1299.0,0.3333333333333333
7480,32.0,1312.0,0.3333333333333333
1637,34.0,1294.0,0.6
7480,34.0,1312.0,0.5
1761,34.0,1299.0,0.42857142857142855
1841,34.0,1297.0,0.42857142857142855
1508,34.0,1293.0,0.4
2380,36.0,777.0,0.2222222222222222
1631,36.0,9.0,0.2222222222222222
6320,36.0,8582.0,0.2222222222222222
4308,36.0,3184.0,0.18181818181818182
394,36.0,1300.0,0.16666666666666666
3844,37.0,4871.0,0.75
1033,37.0,41.0,0.6
378,37.0,1332.0,0.5
1550,37.0,49.0,0.5
1834,37.0,24.0,0.5
7144,38.0,1307.0,0.5
9513,38.0,1316.0,0.5
6489,38.0,6879.0,0.5
3918,38.0,4873.0,0.5
7624,38.0,1309.0,0.5
1396,39.0,3432.0,0.25
1039,39.0,1069.0,0.25
686,39.0,522.0,0.2
1842,39.0,1297.0,0.2
7746,39.0,16964.0,0.16666666666666666
10201,40.0,15181.0,0.3333333333333333
6826,40.0,14203.0,0.3333333333333333
7931,40.0,15179.0,0.3333333333333333
9288,40.0,15180.0,0.3333333333333333
8527,40.0,3770.0,0.3333333333333333
5444,41.0,37.0,0.6
3843,41.0,4871.0,0.5
6059,41.0,1320.0,0.4
1421,41.0,19.0,0.4
1833,41.0,24.0,0.3333333333333333
6495,43.0,6878.0,0.6666666666666666
3875,43.0,16903.0,0.5
1863,43.0,16901.0,0.5
1142,43.0,16899.0,0.5
1103,43.0,16898.0,0.5
10247,44.0,1321.0,1.0
7754,44.0,4872.0,1.0
7671,44.0,1328.0,1.0
8234,44.0,4312.0,1.0
6060,44.0,1320.0,0.5
447,45.0,519.0,0.10344827586206896
313,45.0,540.0,0.08536585365853659
2753,45.0,3812.0,0.08333333333333333
369,45.0,810.0,0.08333333333333333
2546,45.0,4980.0,0.08333333333333333
8033,46.0,8957.0,0.5
5804,46.0,8955.0,0.5
8178,46.0,8958.0,0.5
6130,46.0,8956.0,0.5
10137,46.0,8961.0,0.5
7720,47.0,2768.0,0.5
8044,47.0,8341.0,0.5
384,47.0,13865.0,0.5
4473,47.0,2754.0,0.5
2637,47.0,2751.0,0.5
4691,48.0,13675.0,1.0
3841,48.0,13673.0,1.0
8281,48.0,13676.0,1.0
4385,48.0,7925.0,1.0
7564,48.0,9226.0,1.0
378,49.0,1332.0,1.0
6494,49.0,6878.0,0.5
5444,49.0,37.0,0.5
3843,49.0,4871.0,0.4
9077,49.0,6237.0,0.3333333333333333
7935,50.0,5584.0,1.0
7840,50.0,16965.0,1.0
8036,50.0,16966.0,1.0
1203,50.0,16960.0,1.0
3830,50.0,16961.0,1.0
935,51.0,998.0,0.2375
312,51.0,993.0,0.23170731707317074
222,51.0,187.0,0.22
305,51.0,1001.0,0.21153846153846154
765,51.0,193.0,0.2073170731707317
6942,52.0,73.0,0.16666666666666666
2720,52.0,1824.0,0.15
1211,52.0,66.0,0.14285714285714285
1208,52.0,54.0,0.13333333333333333
3290,52.0,3164.0,0.13333333333333333
548,53.0,81.0,0.16455696202531644
934,53.0,238.0,0.14457831325301204
382,53.0,444.0,0.14285714285714285
245,53.0,64.0,0.13846153846153847
421,53.0,6217.0,0.13043478260869565
376,54.0,3109.0,0.26666666666666666
6884,54.0,5197.0,0.25
8493,54.0,76.0,0.25
2756,54.0,5184.0,0.2222222222222222
462,54.0,57.0,0.21428571428571427
14,55.0,67.0,0.34265734265734266
4,55.0,289.0,0.2727272727272727
53,55.0,292.0,0.2625
19,55.0,89.0,0.22149122807017543
120,55.0,288.0,0.21951219512195122
1449,56.0,1398.0,0.15
605,56.0,88.0,0.12612612612612611
655,56.0,1396.0,0.10810810810810811
450,56.0,1394.0,0.0963855421686747
245,56.0,64.0,0.0851063829787234
1211,57.0,66.0,0.3333333333333333
1208,57.0,54.0,0.21428571428571427
3224,57.0,5358.0,0.18181818181818182
6884,57.0,5197.0,0.18181818181818182
404,57.0,4113.0,0.14285714285714285
960,58.0,167.0,0.1320754716981132
245,58.0,64.0,0.1076923076923077
2120,58.0,172.0,0.10294117647058823
1209,58.0,54.0,0.0975609756097561
41,58.0,423.0,0.09523809523809523
193,59.0,715.0,0.14814814814814814
112,59.0,72.0,0.14414414414414414
306,59.0,1001.0,0.1411764705882353
2965,59.0,61.0,0.13725490196078433
223,59.0,187.0,0.12048192771084337
10045,60.0,79.0,1.0
7907,60.0,74.0,1.0
9450,60.0,78.0,1.0
746,60.0,62.0,0.5
8493,60.0,76.0,0.3333333333333333
3196,61.0,1881.0,0.16666666666666666
2505,61.0,68.0,0.16666666666666666
3342,61.0,1017.0,0.16666666666666666
313,61.0,993.0,0.16129032258064516
804,61.0,1013.0,0.15
9843,62.0,7664.0,0.5
6906,62.0,7662.0,0.5
10045,62.0,79.0,0.5
9450,62.0,78.0,0.5
4751,62.0,60.0,0.5
518,63.0,4126.0,0.14285714285714285
1266,63.0,1793.0,0.11538461538461539
834,63.0,69.0,0.11428571428571428
1431,63.0,389.0,0.10526315789473684
